NCM,Início de vigência,Fim de vigência
03062700,01/01/2016,31/03/2017
03062910,01/01/2016,31/03/2017
03062990,01/01/2016,31/03/2017
03063100,01/01/2017,
03063200,01/01/2017,
03063300,01/01/2017,
03063400,01/01/2017,
03063500,01/01/2017,
03063600,01/01/2017,
03063910,01/01/2017,
03063990,01/01/2017,
03069100,01/01/2017,
03069200,01/01/2017,
03069300,01/01/2017,
03069400,01/01/2017,
03069500,01/01/2017,
03069910,01/01/2017,
03069990,01/01/2017,
03071100,01/01/2016,
03071200,01/01/2017,
03071900,01/01/2016,
03072100,01/01/2016,
03072200,01/01/2017,
03072900,01/01/2016,
03073100,01/01/2016,
03073200,01/01/2017,
03073900,01/01/2016,
03074100,01/01/2016,31/03/2017
03074200,01/01/2017,
03074310,01/01/2017,
03074320,01/01/2017,
03074900,01/01/2017,
03074911,01/01/2016,31/03/2017
03074919,01/01/2016,31/03/2017
03074990,01/01/2016,31/03/2017
03075100,01/01/2016,
03075200,01/01/2017,
03075900,01/01/2017,
03075910,01/01/2016,31/03/2017
03075990,01/01/2016,31/03/2017
03076000,01/01/2016,
03077100,01/01/2016,
03077200,01/01/2017,
03077900,01/01/2016,
03078100,01/01/2016,
03078200,01/01/2017,
03078300,01/01/2017,
03078400,01/01/2017,
03078700,01/01/2017,
03078800,01/01/2017,
03078900,01/01/2016,31/03/2017
03079100,01/01/2016,
03079200,01/01/2017,
03079900,01/01/2016,
03081100,01/01/2016,
03081200,01/01/2017,
03081900,01/01/2016,
03082100,01/01/2016,
03082200,01/01/2017,
03082900,01/01/2016,
03083000,01/01/2016,
03089000,01/01/2016,
04011010,01/01/2016,
04011090,01/01/2016,
04012010,01/01/2016,
04012090,01/01/2016,
04014010,01/01/2016,
04014021,01/01/2016,
04014029,01/01/2016,
04015010,01/01/2016,
04015021,01/01/2016,
04015029,01/01/2016,
04021010,01/01/2016,
04021090,01/01/2016,
04022110,01/01/2016,
04022120,01/01/2016,
04022130,01/01/2016,
04022910,01/01/2016,
04022920,01/01/2016,
04022930,01/01/2016,
04029100,01/01/2016,
04029900,01/01/2016,
04031000,01/01/2016,
04039000,01/01/2016,
04041000,01/01/2016,
04049000,01/01/2016,
04051000,01/01/2016,
04052000,01/01/2016,
04059010,01/01/2016,
04059090,01/01/2016,
04061010,01/01/2016,
04061090,01/01/2016,
04062000,01/01/2016,
04063000,01/01/2016,
04064000,01/01/2016,
04069010,01/01/2016,
04069020,01/01/2016,
04069030,01/01/2016,
04069090,01/01/2016,
04071100,01/01/2016,
04071900,01/01/2016,
04072100,01/01/2016,
04072900,01/01/2016,
04079000,01/01/2016,
04081100,01/01/2016,
04081900,01/01/2016,
04089100,01/01/2016,
04089900,01/01/2016,
04090000,01/01/2016,
04100000,01/01/2016,
05010000,01/01/2016,
05021011,01/01/2016,
05021019,01/01/2016,
05021090,01/01/2016,
05029010,01/01/2016,
05029020,01/01/2016,
05040011,01/01/2016,
05040012,01/01/2016,
05040013,01/01/2016,
05040019,01/01/2016,
05040090,01/01/2016,
05051000,01/01/2016,
05059000,01/01/2016,
05061000,01/01/2016,
05069000,01/01/2016,
05071000,01/01/2016,
05079000,01/01/2016,
05080000,01/01/2016,
05100010,01/01/2016,
05100090,01/01/2016,
05111000,01/01/2016,
05119110,01/01/2016,
05119190,01/01/2016,
05119910,01/01/2016,
05119920,01/01/2016,
05119930,01/01/2016,
05119991,01/01/2016,
05119999,01/01/2016,
06011000,01/01/2016,
06012000,01/01/2016,
06021000,01/01/2016,
06022000,01/01/2016,
06023000,01/01/2016,
06024000,01/01/2016,
06029010,01/01/2016,
06029021,01/01/2016,
06029029,01/01/2016,
06029081,01/01/2016,
06029082,01/01/2016,
06029083,01/01/2016,
06029089,01/01/2016,
06029090,01/01/2016,
06031100,01/01/2016,
06031200,01/01/2016,
06031300,01/01/2016,
06031400,01/01/2016,
06031500,01/01/2016,
06031900,01/01/2016,
06039000,01/01/2016,
06042000,01/01/2016,
06049000,01/01/2016,
07011000,01/01/2016,
07019000,01/01/2016,
07020000,01/01/2016,
07031011,01/01/2016,
07031019,01/01/2016,
07031021,01/01/2016,
07031029,01/01/2016,
07032010,01/01/2016,
07032090,01/01/2016,
07039010,01/01/2016,
07039090,01/01/2016,
07041000,01/01/2016,
07042000,01/01/2016,
07049000,01/01/2016,
07051100,01/01/2016,
07051900,01/01/2016,
07052100,01/01/2016,
07052900,01/01/2016,
07061000,01/01/2016,
07069000,01/01/2016,
07070000,01/01/2016,
07081000,01/01/2016,
07082000,01/01/2016,
07089000,01/01/2016,
07092000,01/01/2016,
07093000,01/01/2016,
07094000,01/01/2016,
07095100,01/01/2016,
07095900,01/01/2016,
07096000,01/01/2016,
07097000,01/01/2016,
07099100,01/01/2016,
07099200,01/01/2016,
07099300,01/01/2016,
07099911,01/01/2016,
07099919,01/01/2016,
07099990,01/01/2016,
07101000,01/01/2016,
07102100,01/01/2016,
07102200,01/01/2016,
07102900,01/01/2016,
07103000,01/01/2016,
07104000,01/01/2016,
